file_name,song_name,song_author,genre
401.mp3,,,Rock
Archetype.mp3,,,Techno
Du hast.mp3,,,Rock
Eternal.mp3,,,Techno
HAASTRA Zwyky Chopak LOAA Official Video.mp3,,,Rap
Intoxicated.mp3,,,Techno
King tonka.mp3,,,Rap
Lost.mp3,,,Techno
Nas NY State of Mind Official Audio.mp3,,,Rap
OG Olgierd Levvy.mp3,,,Rap
OKI JEREMY SOCHAN.mp3,,,Rap
Regal Still Raving INV022.mp3,,,Techno
schafter tom jerry.mp3,,,Rap
Stephan Bodzin Singularity Original Life and Death.mp3,,,Techno
The Day That Never Comes.mp3,,,Rock
The Unforgiven.mp3,,,Rock
Thunderstruck.mp3,,,Rock
TNT.mp3,,,Rock
Too Many Nights.mp3,,,Rap
Travis Scott FEN Official Audio.mp3,,,Rap
Welcome To London.mp3,,,Techno
Young Igi Bestia prod Worek.mp3,,,Rap
